anzsco_code,anzsco_name,anzsco_name_2016,anzsco_name_2011,level,nfd
3222,Sheetmetal Trades Workers,Sheetmetal Trades Workers,Sheetmetal Trades Workers,4,0
3223,Structural Steel and Welding Trades Workers,Structural Steel and Welding Trades Workers,Structural Steel and Welding Trades Workers,4,0
3230,"Mechanical Engineering Trades Workers, nfd","Mechanical Engineering Trades Workers, nfd",Mechanical Engineering Trades Workers nfd,4,1
3231,Aircraft Maintenance Engineers,Aircraft Maintenance Engineers,Aircraft Maintenance Engineers,4,0
3232,Metal Fitters and Machinists,Metal Fitters and Machinists,Metal Fitters and Machinists,4,0
3233,Precision Metal Trades Workers,Precision Metal Trades Workers,Precision Metal Trades Workers,4,0
3234,Toolmakers and Engineering Patternmakers,Toolmakers and Engineering Patternmakers,Toolmakers and Engineering Patternmakers,4,0
3240,"Panelbeaters, and Vehicle Body Builders, Trimmers and Painters, nfd","Panelbeaters, and Vehicle Body Builders, Trimmers and Painters, nfd","Panelbeaters, and Vehicle Body Builders, Trimmers and Painters nfd",4,1
3241,Panelbeaters,Panelbeaters,Panelbeaters,4,0
3242,Vehicle Body Builders and Trimmers,Vehicle Body Builders and Trimmers,Vehicle Body Builders and Trimmers,4,0
3243,Vehicle Painters,Vehicle Painters,Vehicle Painters,4,0
3300,"Construction Trades Workers, nfd","Construction Trades Workers, nfd",Construction Trades Workers nfd,4,1
3310,"Bricklayers, and Carpenters and Joiners, nfd","Bricklayers, and Carpenters and Joiners, nfd","Bricklayers, and Carpenters and Joiners nfd",4,1
3311,Bricklayers and Stonemasons,Bricklayers and Stonemasons,Bricklayers and Stonemasons,4,0
3312,Carpenters and Joiners,Carpenters and Joiners,Carpenters and Joiners,4,0
3320,"Floor Finishers and Painting Trades Workers, nfd","Floor Finishers and Painting Trades Workers, nfd",Floor Finishers and Painting Trades Workers nfd,4,1
3321,Floor Finishers,Floor Finishers,Floor Finishers,4,0
3322,Painting Trades Workers,Painting Trades Workers,Painting Trades Workers,4,0
3330,"Glaziers, Plasterers and Tilers, nfd","Glaziers, Plasterers and Tilers, nfd","Glaziers, Plasterers and Tilers nfd",4,1
3331,Glaziers,Glaziers,Glaziers,4,0
